(dollar sign)	[(dollar sign), $]
artificial	[artificial, artificielle, synthétique, synthétique]
artisans	[artisans, artisans]
craftsman	[craftsman, artisans]
artist	[artist, artiste, lartiste, lartiste]
artists	[artists, artistes, dartistes, dartistes]
artistic	[artistic, artistique, artistiques, artistiques]
artisitque	[artisitque, artistique]
arts	[arts, arts]
as	[as, as, car, car, comme, comme, dautant, dautant, fur, fur, guise, guise, puisque, puisque, tant, tant, tels, tels]
asian	[asian, asiatique, asiatiques, asiatiques]
asiatics	[asiatics, asiatiques]
asia	[asia, asie, dasie, dasie, lasie, lasie]
aspect	[aspect, aspect, plan, plan]
aspects	[aspects, aspects]
murder	[murder, assassinat, lassassinat, lassassinat, meurtre, meurtre]
assassination	[assassination, assassinat]
murdered	[murdered, assassiné, assassinés, assassinés]
assasinated	[assasinated, assassinés]
assembly	[assembly, assemblée, lassemblée, lassemblée, montage, montage]
assemblies	[assemblies, assemblées]
enough	[enough, assez, suffisamment, suffisamment, suffisante, suffisante, suffit, suffit]
to sit down	[to sit down, assis]
aids	[aids, assiste, sida, sida]
see	[see, assiste, voient, voient, voir, voir, voit, voit, vu, vu]
assists	[assists, assiste, assisté, assisté]
witness(1st one) help (2nd) attending (for the german emperor)	[witness(1st one) help (2nd) attending (for the german emperor), assister]
assist	[assist, assister, laider, laider]
asisted	[asisted, assisté]
attended	[attended, assisté]
partnership	[partnership, association, partenariat, partenariat]
association	[association, association, lassociation, lassociation]
associations	[associations, associations]
associates	[associates, associe, associés, associés]
associate	[associate, associe, associé, associé]
associated	[associated, associé, associée, associée, associées, associées, associés, associés]
assuring	[assuring, assurant]
ensuring	[ensuring, assurant]
ensures	[ensures, assure]
mades	[mades, assure]
assure	[assure, assurent]
ensure	[ensure, assurent, assurer, assurer, sassurer, sassurer]
to assure	[to assure, assurer]
ensured	[ensured, assuré, assurée, assurée]
handled	[handled, assuré]
assured	[assured, assurée]
astier	[astier, astier]
astronomical	[astronomical, astronomique]
asynchronous	[asynchronous, asynchrone]
at	[at, at, au, au, aux, aux, chez, chez]
workshop	[workshop, ateliers, latelier, latelier]
workshops	[workshops, ateliers]
athens	[athens, athènes]
athena	[athena, athènes, athéna, athéna]
atlantic	[atlantic, atlantique, latlantique, latlantique]
atlas	[atlas, atlas]
atlas (place name)	[atlas (place name), atlas]
atmosphere	[atmosphere, atmosphère, lambiance, lambiance, latmosphère, latmosphère]
atmospheric	[atmospheric, atmosphérique]
atmospherical	[atmospherical, atmosphérique]
atom	[atom, atome, latome, latome]
atoms	[atoms, atomes]
atomic	[atomic, atomique, atomiques, atomiques, nucléaires, nucléaires]
atp	[atp, atp]
attached	[attached, attaché, attachée, attachée, rattachée, rattachée]
attacker	[attacker, attaquant]
attacking	[attacking, attaquant]
attack	[attack, attaque, attaquer, attaquer, attaqué, attaqué, attentat, attentat, dattaque, dattaque, lattentat, lattentat, loffensive, loffensive]
attacks	[attacks, attaques, attentats, attentats]
attacked	[attacked, attaqué]
tu atte'ignant	[tu atte'ignant, atteignant]
attaining	[attaining, atteignant]
reaching	[reaching, atteignant]
achieve	[achieve, atteindre, parvenir, parvenir, réaliser, réaliser]
reached	[reached, atteint, atteintes, atteintes, touché, touché]
danger	[danger, atteinte, danger, danger]
damage	[damage, atteinte, dommages, dommages]
harming	[harming, atteinte]
violations	[violations, atteintes]
with	[with, atteintes, avec, avec, ayant, ayant, comportant, comportant, dotée, dotée, possédant, possédant, présentant, présentant, with, with]
hit	[hit, atteints, frappe, frappe, frapper, frapper, touchés, touchés]
expected	[expected, attend, attendu, attendu, prévu, prévu, prévues, prévues]
waits	[waits, attend]
waiting	[waiting, attendant]
pending	[pending, attendant]
expect	[expect, attendre, espère, espère]
wait	[wait, attendre]
awaited	[awaited, attendu]
waited	[waited, attendu]
attacks ( terrorist attacks )	[attacks ( terrorist attacks ), attentats]
attention	[attention, attention, lattention, lattention]
attracts	[attracts, attire]
attract	[attract, attirent, attirer, attirer]
to attract	[to attract, attirer]
drawn	[drawn, attiré, dessiné, dessiné, dessinée, dessinée, dessinées, dessinées, tirer, tirer, tirée, tirée]
attracted	[attracted, attiré]
attitude	[attitude, attitude, lattitude, lattitude]
behavior	[behavior, attitude, comportements, comportements]
attribute	[attribute, attribue]
assign	[assign, attribue, attribuer, attribuer]
give	[give, attribue, donne, donne, donnent, donnent, donner, donner, prêter, prêter]
attributed	[attributed, attribuer, attribué, attribué, attribuée, attribuée, attribuées, attribuées, attribués, attribués]
attributes	[attributes, attribué]
in	[in, au, dans, dans, en, en, en , en , in, in]
none	[none, aucun, aucune, aucune, nul, nul, quaucune, quaucune]
no	[no, aucun, nul, nul, quaucune, quaucune]
any	[any, aucune, quelconque, quelconque, toute, toute]
not any	[not any, aucune]
beyond	[beyond, audelà, delà, delà]
on top	[on top, audessus]
audessus	[audessus, audessus]
over	[over, audessus, dessus, dessus, fil, fil]
audience	[audience, audience, audiences, audiences, daudience, daudience, téléspectateurs, téléspectateurs]
hearings	[hearings, audiences]
audio	[audio, audio]
increasing	[increasing, augmentant, croissante, croissante]
raising	[raising, augmentant, collecte, collecte, rehaussement, rehaussement]
increase	[increase, augmentation, augmentent, augmentent, augmenter, augmenter, daugmenter, daugmenter, hausse, hausse]
increases	[increases, augmente, sélève, sélève]
raises	[raises, augmente, suscite, suscite, suscité, suscité, élève, élève]
augment	[augment, augmente]
raise	[raise, augmentent, augmenter, augmenter, hausse, hausse, laugmentation, laugmentation, monté, monté, relèvent, relèvent]
raised	[raised, augmenté, augmentée, augmentée, relevé, relevé]
augustine	[augustine, augustin]
augustin	[augustin, augustin]
today	[today, aujourdhui, daujourdhui, daujourdhui, jours, jours]
previously	[previously, auparavant]
before	[before, auparavant, avant, avant, devant, devant, précédemment, précédemment]
bp	[bp, auprès]
nearby	[nearby, auprès]
to which	[to which, auquel, auxquelles, auxquelles]
which	[which, auquel, auxquels, auxquels, desquels, desquels, dont, dont, duquel, duquel, laquelle, laquelle, lequel, lequel, lesquelles, lesquelles, lesquels, lesquels, quel, quel, quelle, quelle, quelles, quelles, quels, quels, quest, quest, qui, qui]
aura	[aura, aura]
aurot	[aurot, auront]
will have	[will have, auront, devoir, devoir]
aures	[aures, aurès]
aus	[aus, aus]
auschwitz	[auschwitz, auschwitz]
as soon as	[as soon as, aussitôt]
austin	[austin, austin]
australia	[australia, australie, laustralie, laustralie]
australian	[australian, australien, australienne, australienne, daustralie, daustralie]
australians	[australians, australiens]
australiens	[australiens, australiens]
as much	[as much, autant]
same	[same, autant, même, même, mêmes, mêmes]
author	[author, auteur, dauteur, dauteur]
authors	[authors, auteurs, dauteurs, dauteurs]
authentic	[authentic, authentique]
authority	[authority, authority, autorité, autorité, instance, instance, lautorité, lautorité, organisme, organisme]
autism	[autism, autisme, lautisme, lautisme]
autobiography	[autobiography, autobiographie]
aboriginal	[aboriginal, autochtones]
automatic	[automatic, automatique]
automatically	[automatically, automatiquement]
autumn	[autumn, automne, lautomne, lautomne]
fall	[fall, automne, chute, chute, lautomne, lautomne, tombent, tombent, tomber, tomber]
motorcar	[motorcar, automobile]
independent	[independent, autonome, indépendant, indépendant, indépendante, indépendante, indépendantes, indépendantes, indépendants, indépendants]
autonomous	[autonomous, autonome, autonomes, autonomes]
autonomy	[autonomy, autonomie, lautonomie, lautonomie]
autorisation	[autorisation, autorisation]
authorization	[authorization, autorisation, lautorisation, lautorisation]
authorizes	[authorizes, autorise]
allows	[allows, autorise, permet, permet, permettra, permettra, permit, permit]
authorised	[authorised, autorisé]
authorized	[authorized, autorisé, autorisée, autorisée, autorisés, autorisés]
permitted	[permitted, autorisée]
autoritary	[autoritary, autoritaire]
authoritarian	[authoritarian, autoritaire]
authorities	[authorities, autorités, pouvoirs, pouvoirs]
highways	[highways, autoroutes]
motorways	[motorways, autoroutes]
other - else - another	[other - else - another, autre]
other	[other, autre, autres, autres, dautre, dautre, dautres, dautres]
in the past	[in the past, autrefois]
differently	[differently, autrement, différemment, différemment]
others	[others, autres, dautre, dautre, dautres, dautres]
austria	[austria, autriche, lautriche, lautriche]
austrian	[austrian, autrichien, autrichienne, autrichienne, autrichiens, autrichiens]
austrians	[austrians, autrichiens]
at the - at the - in the	[at the - at the - in the, aux]
to which (here: on which)	[to which (here: on which), auxquels]
advance	[advance, avance, lavance, lavance, lavancée, lavancée]
advances	[advances, avancé]
advanced	[advanced, avancé, avancée, avancée, avancées, avancées, poussées, poussées]
progress	[progress, avancée, déroulement, déroulement, progresse, progresse, progression, progression, progrès, progrès]
benefits	[benefits, avantages, bénéfices, bénéfices, bénéficie, bénéficie, fruits, fruits, profite, profite]
advantages	[advantages, avantages]
avantages	[avantages, avantages]
avatar	[avatar, avatar]
future	[future, avenir, futur, futur, future, future, futures, futures, futurs, futurs]
adventure	[adventure, aventure, laventure, laventure]
adventures	[adventures, aventures]
avenue	[avenue, avenue]
blind	[blind, aveugle]
plane	[plane, avion, lavion, lavion]
aircraft	[aircraft, avions, aéronefs, aéronefs]
airplanes	[airplanes, avions]
planes	[planes, avions]
opinion	[opinion, avis, lopinion, lopinion, opinion, opinion]
view	[view, avis, tenu, tenu, vision, vision, vue, vue]
lawyer	[lawyer, avocat]
to have	[to have, avoir, davoir, davoir, disposer, disposer, lavoir, lavoir]
april	[april, avril, davril, davril]
awards	[awards, awards, distinctions, distinctions, récompenses, récompenses]
axis	[axis, axe, axes, axes, laxe, laxe]
having	[having, ayant, navoir, navoir, nayant, nayant, sétant, sétant, sêtre, sêtre]
azoturia	[azoturia, azoture]
nitrogen's salts (sorry do not know technical term)	[nitrogen's salts (sorry do not know technical term), azoture]
azide	[azide, azoture]
azotite	[azotite, azoture]
azoture	[azoture, azoture]
(scientific term)	[(scientific term), azoture, flagellés, flagellés, symphyles, symphyles, élution, élution]
azoimide	[azoimide, azoture]
azides	[azides, azoture]
ammonia	[ammonia, azoture]
aerien	[aerien, aérien]
aerial	[aerial, aérien, aérienne, aérienne, aériennes, aériennes]
airline	[airline, aérienne]
airport	[airport, aéroport, laéroport, laéroport]
airports	[airports, aéroports]
elder	[elder, aîné]
older	[older, aîné]
b	[b, b, baromètre, baromètre]
babylon	[babylon, babylone]
bach	[bach, bach]
backlash	[backlash, backlash]
bacon	[bacon, bacon]
bacteria	[bacteria, bactérie, bactéries, bactéries]
bacterias	[bacterias, bactéries]
bad	[bad, bad, mauvais, mauvais, mauvaise, mauvaise, mauvaises, mauvaises]
bafta	[bafta, bafta]
bay	[bay, baie]
bath	[bath, bain]
baths	[baths, bains]
kiss	[kiss, baiser, kiss, kiss]
decrease	[decrease, baisse, diminue, diminue, diminuer, diminuer, diminution, diminution, réduction, réduction]
lowering or lower	[lowering or lower, baisse]
ball	[ball, bal, ball, ball, balle, balle, bulle, bulle]
balance	[balance, balance, léquilibre, léquilibre, solde, solde, équilibre, équilibre]
bali	[bali, bali]
balkans	[balkans, balkans]
ballad	[ballad, ballade]
bullet	[bullet, balle]
balls	[balls, balles]
bullets	[bullets, balles]
ballet	[ballet, ballet]
balloon	[balloon, ballon]
baltic	[baltic, baltique]
balzac	[balzac, balzac]
banking	[banking, bancaire]
band from tv	[band from tv, band]
band	[band, bande, groupe, groupe]
group	[group, bande, groupe, groupe]
bandwith	[bandwith, bande]
strips	[strips, bandes]
stripes	[stripes, bandes]
bank	[bank, bank, banque, banque, rive, rive, rives, rives]
suburb	[suburb, banlieue]
suburbs	[suburbs, banlieue]
banks	[banks, banques, bords, bords, quais, quais, rives, rives]
baptist	[baptist, baptisme, baptiste, baptiste]
baptism	[baptism, baptisme, baptême, baptême]
baptime	[baptime, baptisme]
baptist doctrine	[baptist doctrine, baptisme]
baptizes	[baptizes, baptisé]
baptized	[baptized, baptisé]
baptised	[baptised, baptisée]
dubbed	[dubbed, baptisée, dits, dits, surnommé, surnommé]
named	[named, baptisée, intitulée, intitulée, nommée, nommée, nommés, nommés, sappelle, sappelle, surnommée, surnommée]
bar	[bar, bar, barre, barre]
barack	[barack, barack]
barbara	[barbara, barbara]
barbarians	[barbarians, barbares]
barcelona	[barcelona, barcelone]
bardot	[bardot, bardot]
barometre	[barometre, baromètre]
barometer	[barometer, baromètre]
baron	[baron, baron]
barogue	[barogue, baroque]
baroque	[baroque, baroque]
dam	[dam, barrage, barrages, barrages]
dams	[dams, barrages]
bars	[bars, barres]
stripe(for new york) crossbars (for the rest)	[stripe(for new york) crossbars (for the rest), barres]
barnett	[barnett, barrett]
barrett	[barrett, barrett]
